Date,NbMessage
2018-02-23,54
2018-02-24,32
2018-02-25,41
2018-02-26,27
2018-02-27,48
2018-02-28,11
2018-03-01,57
2018-03-02,106
2018-03-03,29
2018-03-04,17
2018-03-05,12
2018-03-10,30
2018-03-12,14
2018-03-13,22
2018-03-14,20
2018-03-15,1
2018-03-16,10
2018-03-17,25
2018-03-18,32
2018-03-19,12
2018-03-21,13
2018-03-24,11
2018-03-26,10
2018-03-27,3
2018-03-29,1
2018-03-31,7
2018-04-01,22
2018-04-02,9
2018-04-03,6
2018-04-04,3
2018-04-05,10
2018-04-06,10
2018-04-07,4
2018-04-08,42
2018-04-09,1
2018-04-10,2
2018-04-11,1
2018-04-12,7
2018-04-13,10
2018-04-14,25
2018-04-15,25
2018-04-11,1
2018-04-12,12
2018-04-13,14
2018-04-14,27
2018-04-15,29
2018-04-16,27
2018-04-17,90
2018-04-18,21
2018-04-19,22
2018-04-20,5
2018-04-21,10
2018-04-22,16
2018-04-23,12
2018-04-24,33
2018-04-25,25
2018-04-26,13
2018-04-27,12
2018-04-28,11
2018-04-29,18
2018-05-02,75
2018-05-03,12
2018-05-04,46
2018-05-05,20
2018-05-06,20
2018-05-08,194
2018-05-09,41
2018-05-10,45
2018-05-12,84
2018-05-13,86
2018-05-14,9
2018-05-15,56
2018-05-16,52
2018-05-17,26
2018-05-18,85
2018-05-19,72
2018-05-20,7
2018-05-21,22
2018-05-22,9
2018-05-23,2
2018-05-24,30
2018-05-25,9
2018-05-26,101
2018-05-27,25
2018-05-28,181
2018-05-29,11
2018-05-30,28
2018-05-31,32
2018-06-01,50
2018-06-02,45
2018-06-03,26
2018-06-05,10
2018-06-06,19
2018-06-07,4
2018-06-08,10
2018-06-09,40
2018-06-10,111
2018-06-11,52
2018-06-12,63
2018-06-13,37
2018-06-14,40
2018-06-15,178
2018-06-16,77
2018-06-17,232
2018-06-18,120
2018-06-19,12
2018-06-20,203
2018-06-21,13
2018-06-22,23
2018-06-23,13
2018-06-24,45
2018-06-25,31
2018-06-26,93
2018-06-27,72
2018-06-28,55
2018-06-29,26
2018-06-30,85
2018-07-01,21
2018-07-02,49
2018-07-03,58
2018-07-04,10
2018-07-05,41
2018-07-06,116
2018-07-07,19
2018-07-08,4
2018-07-09,24
2018-07-10,213
2018-07-11,53
2018-07-12,17
2018-07-13,292
2018-07-14,116
2018-07-15,203
2018-07-16,51
2018-07-17,34
2018-07-18,15
2018-07-19,8
2018-07-20,21
2018-07-21,10
2018-07-22,25
2018-07-23,15
2018-07-24,2
2018-07-25,16
2018-07-26,25
2018-07-27,58
2018-07-28,26
2018-07-29,111
2018-07-30,53
2018-07-31,19
2018-08-01,16
2018-08-02,109
2018-08-03,49
2018-08-04,100
2018-08-05,43
2018-08-06,121
2018-08-07,59
2018-08-08,39
2018-08-09,125
2018-08-10,114
2018-08-11,101
2018-08-12,88
2018-08-13,48
2018-08-14,152
2018-08-15,300
2018-08-16,65
2018-08-17,41
2018-08-18,21
2018-08-19,165
2018-08-20,12
2018-08-21,94
2018-08-22,88
2018-08-23,35
2018-08-24,66
2018-08-25,59
2018-08-26,91
2018-08-28,10
2018-08-29,19
2018-08-30,4
2018-08-31,119
2018-09-01,106
2018-09-02,22
2018-09-03,45
2018-09-04,44
2018-09-05,12
2018-09-06,93
2018-09-07,37
2018-09-08,135
2018-09-09,7
2018-09-11,32
2018-09-12,34
2018-09-13,51
2018-09-14,108
2018-09-15,30
2018-09-16,17
2018-09-17,56
2018-09-18,1
2018-09-19,30
2018-09-21,16
2018-09-22,28
2018-09-23,64
2018-09-25,66
2018-09-26,17
2018-09-27,15
2018-09-28,9
2018-09-29,100
2018-09-30,16
2018-10-01,22
2018-10-04,3
2018-10-05,42
2018-10-06,40
2018-10-07,11
2018-10-11,19
2018-10-12,24
2018-10-13,142
2018-10-14,32
2018-10-15,19
2018-10-16,15
2018-10-17,59
2018-10-18,97
2018-10-19,84
2018-10-20,46
2018-10-21,41
2018-10-22,158
2018-10-23,1
2018-10-24,18
2018-10-25,14
2018-10-26,24
2018-10-27,44
2018-10-28,27
2018-10-29,32
2018-10-30,22
2018-10-31,52
2018-11-01,14
2018-11-02,27
2018-11-03,43
2018-11-04,27
2018-11-05,7
2018-11-06,15
2018-11-07,64
2018-11-08,39
2018-11-09,37
2018-11-10,23
2018-11-12,16
2018-11-13,14
2018-11-14,1
2018-11-15,17
2018-11-16,17
2018-11-17,47
2018-11-18,15
2018-11-19,15
2018-11-20,38
2018-11-21,10
2018-11-22,3
2018-11-23,95
2018-11-24,20
2018-11-25,86
2018-11-26,17
2018-11-27,7
2018-11-28,11
2018-11-29,7
2018-11-30,5
2018-12-01,52
2018-12-02,20
2018-12-03,42
2018-12-04,102
2018-12-05,9
2018-12-06,26
2018-12-07,18
2018-12-08,54
2018-12-09,8
2018-12-10,61
2018-12-12,22
2018-12-13,23
2018-12-14,88
2018-12-15,104
2018-12-16,43
2018-12-17,105
2018-12-19,39
2018-12-20,30
2018-12-21,7
2018-12-22,20
2018-12-23,21
2018-12-24,59
2018-12-25,63
2018-12-26,23
2018-12-27,10
2018-12-28,19
2018-12-29,22
2018-12-31,60
2019-01-01,23
2019-01-02,57
2019-01-03,9
2019-01-04,4
2019-01-05,7
2019-01-06,4
2019-01-07,15
2019-01-09,23
2019-01-10,29
2019-01-11,9
2019-01-12,20
2019-01-13,41
